id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
159909,Yemen,YEM,14.94117,44.9767115,"[14.94117, 44.9767115]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26417,Yemen: Non-International armed conflict (NIAC) - Dhamar - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Ans Sinyan, Dhamar Governorate, Yemen; Madinat Marib, Marib Governorate, Yemen","14.46667, 44.650002; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:40.837302Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Ans Sinyan to Madinat Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159917,Yemen,YEM,13.79617,43.584526,"[13.79617, 43.584526]",Recommended figure,Conflict,total,12,2024-08-10,2024-08-04,2024-08-10,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Hays, Al Hudaydah Governorate, Yemen; Maqbanah, Ta'izz Governorate, Yemen","13.9317, 43.483101; 13.66064, 43.685951",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:41.221882Z,"Yemen: 12 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 2 households were displaced from Maqbanah to Hays due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159911,Yemen,YEM,13.812435,43.9748405,"[13.812435, 43.9748405]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26411,Yemen: Non-International armed conflict (NIAC) - Ibb - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Masnaah, Ibb Governorate, Yemen; Al Qahirah, Ta'izz Governorate, Yemen","14.05967, 43.933331; 13.5652, 44.01635",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:40.960506Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Al Masnaah to Al Qahirah due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159910,Yemen,YEM,15.55807,44.4790365,"[15.55807, 44.4790365]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26418,Yemen: Non-International armed conflict (NIAC) - Hajjah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Madinat Marib, Marib Governorate, Yemen; Sharas, Hajjah Governorate, Yemen","15.41567, 45.303421; 15.70047, 43.654652",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:40.889408Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Sharas to Madinat Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159916,Yemen,YEM,13.7331,43.5166665,"[13.7331, 43.5166665]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Khawkhah, Al Hudaydah Governorate, Yemen; Maqbanah, Ta'izz Governorate, Yemen","13.80556, 43.347382; 13.66064, 43.685951",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:41.173866Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Maqbanah to Al Khawkhah due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159919,Yemen,YEM,13.567265,43.787006500000004,"[13.567265, 43.787006500000004]",Recommended figure,Conflict,total,54,2024-08-10,2024-08-04,2024-08-10,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Jabal Habashi, Ta'izz Governorate, Yemen; Maqbanah, Ta'izz Governorate, Yemen","13.47389, 43.888062; 13.66064, 43.685951",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:41.495439Z,"Yemen: 54 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 9 households were displaced from Maqbanah to Jabal Habashi due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159918,Yemen,YEM,13.543735000000002,43.8146055,"[13.543735000000002, 43.8146055]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Madahif, Ta'izz Governorate, Yemen; Maqbanah, Ta'izz Governorate, Yemen","13.42683, 43.94326; 13.66064, 43.685951",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:41.445976Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Maqbanah to Al Madahif due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159907,Yemen,YEM,14.31665,43.128632,"[14.31665, 43.128632]",Recommended figure,Conflict,total,18,2024-08-10,2024-08-04,2024-08-10,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Khawkhah, Al Hudaydah Governorate, Yemen; Al Mina, Al Hudaydah Governorate, Yemen","13.80556, 43.347382; 14.82774, 42.909882",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:40.727902Z,"Yemen: 18 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 3 households were displaced from Al Mina to Al Khawkhah due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159914,Yemen,YEM,15.372225,44.764261000000005,"[15.372225, 44.764261000000005]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26419,Yemen: Non-International armed conflict (NIAC) - Sanaa City - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Madinat Marib, Marib Governorate, Yemen; Sana'a City, Yemen","15.41567, 45.303421; 15.32878, 44.225101",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:41.090674Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Sana'a City to Madinat Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159920,Yemen,YEM,13.61744,44.51231,"[13.61744, 44.51231]",Recommended figure,Conflict,total,12,2024-08-10,2024-08-04,2024-08-10,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Azariq, Ad Dali' Governorate, Yemen; Mavia, Ta'izz Governorate, Yemen","13.65194, 44.676941; 13.58294, 44.347679",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:41.537123Z,"Yemen: 12 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 2 households were displaced from Mavia to Azariq due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
